         39365548 function calls (39331711 primitive calls) in 172.578 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    52228    0.008    0.000    0.009    0.000 {built-in method builtins.hasattr}
    40176    0.009    0.000    0.009    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/random_seed.py:34(_truncate_seed)
    69696    0.009    0.000    0.009    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/eager/context.py:2293(context)
        1    0.009    0.009    0.009    0.009 {built-in method tensorflow.python._pywrap_tfe.TFE_NewContext}
    35628    0.008    0.000    0.008    0.000 {method 'extend' of 'list' objects}
        1    0.002    0.002    0.007    0.007 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/frame.py:694(__init__)
    50402    0.007    0.000    0.007    0.000 {method 'getrandbits' of '_random.Random' objects}
    29278    0.006    0.000    0.006    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/array_ops.py:1288(<genexpr>)
    37939    0.006    0.000    0.006    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/logging/__init__.py:2074(getLogger)
      100    0.006    0.000    0.006    0.000 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:417(<listcomp>)
    28915    0.005    0.000    0.005    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/eager/context.py:983(_handle)
      603    0.003    0.000    0.005    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/collections/__init__.py:610(most_common)
    62373    0.005    0.000    0.005    0.000 {built-in method _operator.index}
     1476    0.002    0.000    0.004    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/random.py:514(<listcomp>)
     1010    0.002    0.000    0.004    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:5748(__enter__)
    31125    0.004    0.000    0.004    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
    30620    0.004    0.000    0.004    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/tensor.py:757(__tf_tensor__)
      200    0.001    0.000    0.004    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/random.py:128(seed)
 4594/828    0.003    0.000    0.004    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:84(_convert)
        1    0.000    0.000    0.004    0.004 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/construction.py:506(nested_data_to_arrays)
     1010    0.001    0.000    0.003    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/tensor_getitem_override.py:49(_check_index)
1789/1080    0.000    0.000    0.003    0.000 <frozen abc>:121(__subclasscheck__)
      200    0.003    0.000    0.003    0.000 {function Random.seed at 0x1042d49a0}
1789/1080    0.003    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
      266    0.002    0.000    0.003    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/random.py:367(choice)
        1    0.000    0.000    0.003    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/construction.py:793(to_arrays)
     1010    0.000    0.000    0.003    0.000 {built-in method builtins.next}
     1010    0.001    0.000    0.003    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:5782(__exit__)
      100    0.000    0.000    0.003    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/json/__init__.py:183(dumps)
    26910    0.003    0.000    0.003    0.000 {method 'bit_length' of 'int' objects}
      100    0.000    0.000    0.003    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/json/encoder.py:183(encode)
        1    0.000    0.000    0.003    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/construction.py:891(_list_of_dict_to_arrays)
      505    0.000    0.000    0.002    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/eager/execute.py:271(<listcomp>)
      100    0.002    0.000    0.002    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/json/encoder.py:205(iterencode)
     1010    0.001    0.000    0.002    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:5531(<genexpr>)
      603    0.001    0.000    0.002    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/heapq.py:523(nlargest)
     2520    0.002    0.000    0.002    0.000 {built-in method _bisect.bisect_right}
      300    0.001    0.000    0.002    0.000 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:621(create_weighted_list)
     3858    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      505    0.000    0.000    0.002    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/eager/execute.py:328(_is_keras_symbolic_tensor)
        4    0.000    0.000    0.002    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/indexes/base.py:7593(ensure_index)
    20373    0.002    0.000    0.002    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:176(__init__)
    20373    0.002    0.000    0.002    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:182(__exit__)
14533/14512    0.002    0.000    0.002    0.000 {built-in method builtins.len}
    20373    0.002    0.000    0.002    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:179(__enter__)
        1    0.000    0.000    0.002    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/indexes/base.py:475(__new__)
      505    0.001    0.000    0.002    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/array_ops.py:1246(_get_dtype_from_nested_lists)
    10659    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
       10    0.000    0.000    0.002    0.000 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:832(<listcomp>)
     2020    0.002    0.000    0.002    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/eager/context.py:1042(scope_name)
      100    0.000    0.000    0.001    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/json/__init__.py:299(loads)
     1010    0.000    0.000    0.001    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:5772(_restore_name_scope)
       18    0.000    0.000    0.001    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/construction.py:517(sanitize_array)
      603    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      100    0.000    0.000    0.001    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/json/decoder.py:332(decode)
